273,,31,31,31,167,
4437,,135,135,135,3299,
5428,,148,148,148,3698,
2448,,103,103,103,1875,
1748,,81,81,81,1205,
5328,,143,143,143,3997,
6804,,162,162,162,4536,
924,,92,92,92,564,
3780,,120,120,120,2962,
3150,,110,110,110,2286,
4617,,135,135,135,3087,
2912,,120,120,120,2070,
2144,,96,96,96,1600,
4558,,136,136,136,3600,
3045,,119,119,119,2495,
3036,,110,110,110,2324,
945,,59,59,59,725,
4128,,131,131,131,3179,
715,,73,73,73,651,
396,,44,44,44,342,
4214,,138,138,138,3078,
8722,,184,184,184,6014,
792,,55,55,55,645,
2730,,104,104,104,2044,
3168,,111,111,111,2507,
572,,60,60,60,476,
4664,,138,138,138,3138,
1045,,103,103,103,939,
693,,103,103,103,323,
1024,,61,61,61,839,
8277,,179,179,179,5415,
6764,,162,162,162,4190,
4611,,137,137,137,3405,
120,,20,20,20,104,
3640,,118,118,118,2426,
5133,,143,143,143,3439,
318,,56,56,56,208,
7395,,169,169,169,4903,
670,,74,74,74,612,
192,,35,35,35,183,
1316,,72,72,72,874,
3975,,125,125,125,2889,
2840,,108,108,108,2178,
4018,,128,128,128,3006,
1843,,113,113,113,1653,
6696,,162,162,162,4404,
348,,61,61,61,319,
3444,,121,121,121,2745,
3136,,109,109,109,2349,
5402,,144,144,144,3434,
2132,,105,105,105,1695,
2680,,104,104,104,1832,
3392,,114,114,114,2488,
2546,,102,102,102,1784,
5200,,142,142,142,3688,
930,,58,58,58,802,
315,,33,33,33,273,
1344,,73,73,73,985,
1125,,87,87,87,1009,
8170,,178,178,178,5306,
288,,33,33,33,255,
570,,50,50,50,548,
1645,,79,79,79,1323,
3082,,110,110,110,2244,
4800,,145,145,145,3229,
1845,,83,83,83,1377,
826,,70,70,70,630,
1704,,92,92,92,1234,
7220,,168,168,168,5082,
671,,69,69,69,467,
988,,86,86,86,574,
6536,,159,159,159,4273,
4914,,138,138,138,3504,
7134,,166,166,166,5070,
1700,,102,102,102,1220,
1155,,89,89,89,1011,
2560,,109,109,109,1975,
3010,,118,118,118,1734,
3300,,113,113,113,2475,
3293,,123,123,123,2577,
3652,,124,124,124,2586,
2904,,118,118,118,2332,
675,,57,57,57,517,
7480,,170,170,170,4614,
2937,,119,119,119,2283,
340,,41,41,41,181,
3822,,130,130,130,2602,
175,,37,37,37,91,
84,,16,16,16,82,
2139,,97,97,97,1441,
1806,,82,82,82,1386,
574,,52,52,52,520,
644,,96,96,96,302,
8544,,182,182,182,5808,
644,,96,96,96,624,
1290,,98,98,98,1118,
6862,,164,164,164,4344,
5880,,155,155,155,3661,
2628,,106,106,106,2054,
896,,75,75,75,665,
700,,104,104,104,684,
3900,,125,125,125,2761,
272,,30,30,30,254,
1590,,80,80,80,1134,
1518,,88,88,88,1312,
3182,,120,120,120,2090,
2244,,98,98,98,1250,
1620,,81,81,81,1357,
2640,,100,100,100,1852,
665,,51,51,51,581,
2166,,92,92,92,1752,
3306,,112,112,112,2484,
5382,,144,144,144,3720,
114,,22,22,22,92,
1634,,102,102,102,914,
6808,,163,163,163,4507,
1260,,96,96,96,928,
160,,34,34,34,96,
3604,,118,118,118,2688,
420,,73,73,73,285,
3564,,117,117,117,2093,
6624,,161,161,161,4439,
5472,,150,150,150,3932,
4482,,134,134,134,3028,
3024,,117,117,117,2053,
9118,,188,188,188,5234,
1032,,64,64,64,914,
4424,,132,132,132,3080,
636,,62,62,62,500,
525,,79,79,79,441,
1176,,95,95,95,1065,
4648,,136,136,136,3172,
1568,,81,81,81,1143,
3822,,130,130,130,2596,
4370,,138,138,138,3314,
480,,55,55,55,441,
1176,,95,95,95,1023,
2236,,109,109,109,1703,
2178,,96,96,96,1862,
1925,,99,99,99,1553,
440,,90,90,90,188,
5544,,146,146,146,3776,
6205,,155,155,155,4687,
645,,55,55,55,599,
1702,,94,94,94,1152,
230,,48,48,48,218,
1360,,71,71,71,1071,
820,,58,58,58,640,
910,,80,80,80,618,
1638,,106,106,106,1362,
1805,,111,111,111,1539,
2915,,105,105,105,2205,
2747,,105,105,105,1919,
3726,,124,124,124,2428,
7600,,173,173,173,5019,
1188,,73,73,73,1069,
1015,,61,61,61,671,
2750,,102,102,102,2160,
504,,76,76,76,252,
4148,,126,126,126,2858,
1710,,80,80,80,1304,
342,,60,60,60,326,
1034,,66,66,66,912,
1827,,105,105,105,1183,
70,,14,14,14,62,
1700,,90,90,90,1144,
45,,11,11,11,35,
752,,99,99,99,599,
7315,,169,169,169,5135,
1176,,70,70,70,1042,
1190,,96,96,96,1078,
812,,69,69,69,563,
2655,,101,101,101,2079,
817,,59,59,59,617,
1335,,101,101,101,1149,
1260,,96,96,96,876,
5520,,146,146,146,3688,
5170,,146,146,146,3568,
1260,,70,70,70,796,
1155,,89,89,89,699,
990,,78,78,78,686,
2294,,102,102,102,1980,
2688,,103,103,103,2253,
2112,,94,94,94,1610,
980,,81,81,81,683,
714,,62,62,62,662,
2001,,107,107,107,1107,
6305,,159,159,159,3729,
774,,58,58,58,548,
4096,,125,125,125,3067,
3456,,129,129,129,2701,
2772,,105,105,105,2253,
944,,72,72,72,722,
108,,21,21,21,81,
3468,,116,116,116,2332,
4602,,134,134,134,3324,
2484,,97,97,97,1903,
2392,,95,95,95,1737,
690,,50,50,50,594,
4230,,134,134,134,2964,
2925,,111,111,111,2113,
1326,,70,70,70,976,
3330,,124,124,124,2350,
512,,69,69,69,491,
2294,,96,96,96,1782,
507,,49,49,49,367,
640,,49,49,49,475,
72,,14,14,14,62,
1675,,89,89,89,1141,
300,,34,34,34,248,
2632,,100,100,100,2010,
2132,,90,90,90,1688,
1911,,85,85,85,1517,
1920,,85,85,85,1333,
536,,72,72,72,376,
1235,,81,81,81,1145,
6432,,160,160,160,4198,
3640,,119,119,119,2623,
2059,,97,97,97,1829,
1683,,81,81,81,1351,
2160,,111,111,111,1337,
8019,,177,177,177,5307,
2232,,114,114,114,1406,
5135,,141,141,141,3613,
1813,,83,83,83,1413,
150,,32,32,32,130,
286,,34,34,34,284,
2952,,115,115,115,2077,
5986,,152,152,152,4424,
2958,,106,106,106,2152,
2170,,94,94,94,1608,
450,,52,52,52,400,
759,,53,53,53,651,
2958,,118,118,118,2240,
3551,,117,117,117,2519,
833,,63,63,63,783,
4400,,132,132,132,2846,
441,,55,55,55,315,
1617,,95,95,95,1221,
1431,,77,77,77,1285,
2209,,91,91,91,1641,
1261,,107,107,107,927,
3008,,123,123,123,1695,
3969,,127,127,127,2601,
2160,,99,99,99,1427,
588,,46,46,46,534,
3009,,107,107,107,2079,
3564,,122,122,122,2850,
418,,46,46,46,398,
1012,,65,65,65,705,
221,,27,27,27,187,
648,,63,63,63,611,
4087,,125,125,125,3081,
1806,,104,104,104,1540,
238,,38,38,38,228,
